,Industry_code_NZSIOC,Year,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Non-operating expenses,Non-operating income,Opening stocks,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count(3),Liability,Leverage ratio
144,CC912,2013,22.0,105.0,223.0,137.0,163.0,10.0,8.0,74.0,1.0,2.0,7.0,1.0,38.0,2.0,3.0,105.0,45.0,74.0,321.0,0.0,35.0,86.0,0.0,42.0,16.0,120.0,52.0,246.5,130.0,54.0,21100.0,5.834810737062605,342.0,497.0,550.0,214800.0,211.0,1.623076923076923
145,CC912,2014,21.0,99.0,228.0,145.0,157.0,10.0,7.0,78.0,18.130841121495326,2.0,7.0,2.0,37.0,2.0,514.2264150943396,96.0,44.0,74.0,316.0,0.0,40.0,89.0,0.0,34.0,13.0,127.0,64.0,239.0,131.0,44.0,16800.0,5.857933154483459,350.0,504.0,545.0,207900.0,219.0,1.6717557251908397
146,CC912,2015,37.0,104.0,246.0,182.0,135.0,10.0,7.0,11026.024064171123,18.130841121495326,2.0,7.0,1.0,37.0,1.0,514.2264150943396,103.0,26252.71780821918,67.0,318.0,0.0,45.0,78.0,0.0,36.0,13.0,136.0,70.0,248.0,146.0,53.0,20400.0,5.978885764901122,395.0,519.0,570.0,218100.0,249.0,1.7054794520547945
147,DD,2013,2993.0,369.0,6080.0,8731.0,70.0,1684.0,684.0,49459.0,18.130841121495326,60.0,1036.0,203.0,53.0,424.0,514.2264150943396,363.0,6592.0,20332.0,0.0,11484.0,0.0,65.0,5.0,8.0,4.0,1113.0,0.0,0.0,33069.0,2620.0,174600.0,11.037016433107798,62132.0,15801.0,18414.0,1227400.0,29063.0,0.8788593546826333
148,DD,2014,2520.0,420.0,5524.0,5850.0,94.0,1764.0,394.0,50180.0,5.0,62.0,1123.0,289.0,54.0,349.0,354.0,360.0,5875.0,22398.0,0.0,10737.0,0.0,87.0,12.0,8.0,4.0,1159.0,0.0,0.0,33331.0,2587.0,168300.0,11.028076182307988,61579.0,15195.0,17721.0,1153400.0,28248.0,0.8474993249527467
149,DD,2015,2531.0,390.0,5228.0,5669.0,92.0,1912.0,418.0,51663.0,3.0,73.0,1110.0,197.0,54.0,604.0,401.0,400.0,6578.0,23762.0,0.0,11555.0,0.0,85.0,6.0,7.0,4.0,1218.0,0.0,0.0,34037.0,2289.0,146600.0,11.05829112085398,63468.0,16474.0,18773.0,1202500.0,29431.0,0.8646766753826718
150,DD11,2013,2530.0,355.0,5463.0,7729.0,71.0,1401.0,636.0,11026.024064171123,0.0,39.0,926.0,1792.8257142857142,43.07823960880196,334.0,514.2264150943396,352.0,6088.0,17934.0,0.0,10600.0,0.0,66.0,4.0,19.880195599022006,7.97323600973236,785.0,0.0,0.0,14667.616136919316,2258.0,244600.0,10.773582998804706,47742.77372262774,14085.0,16339.0,1770100.0,25663.0,1.749636734452343
151,DD11,2014,1966.0,404.0,5001.0,4935.0,101.0,1448.0,327.0,11026.024064171123,0.0,42.0,1029.0,262.0,43.07823960880196,307.0,276.0,345.0,5543.0,15015.295454545454,0.0,9833.0,0.0,93.0,11.0,19.880195599022006,7.97323600973236,819.0,0.0,0.0,14667.616136919316,2344.0,245300.0,10.773582998804706,47742.77372262774,13479.0,15765.0,1649400.0,19950.295454545456,1.3601593652515422
152,DD11,2015,1879.0,367.0,4605.0,4901.0,94.0,1578.0,373.0,11026.024064171123,0.0,180.3384223918575,1016.0,1792.8257142857142,43.07823960880196,375.65934065934067,514.2264150943396,380.0,6227.0,15015.295454545454,0.0,10644.0,0.0,86.0,5.0,19.880195599022006,7.97323600973236,856.0,0.0,0.0,14667.616136919316,1964.0,201800.0,10.773582998804706,47742.77372262774,14619.0,16595.0,1705100.0,19916.295454545456,1.357841333494874
153,DD12,2013,464.0,14.0,617.0,1002.0,62.0,283.0,48.0,11026.024064171123,18.130841121495326,22.0,110.0,1792.8257142857142,43.07823960880196,90.0,514.2264150943396,11.0,504.0,2399.0,0.0,884.0,0.0,60.0,1.0,19.880195599022006,7.97323600973236,327.0,0.0,0.0,14667.616136919316,362.0,62700.0,10.773582998804706,47742.77372262774,1716.0,2075.0,359500.0,3401.0,0.23187135307144208
154,DD12,2014,554.0,17.0,524.0,915.0,57.0,316.0,67.0,11026.024064171123,5.0,20.0,94.0,27.0,43.07823960880196,42.0,78.0,14.0,332.0,15015.295454545454,0.0,904.0,0.0,55.0,1.0,19.880195599022006,7.97323600973236,340.0,0.0,0.0,14667.616136919316,242.0,41700.0,10.773582998804706,47742.77372262774,1716.0,1957.0,337000.0,15930.295454545454,1.0860861987278148
